agents,map_file,solver,solved,soc,makespan,comp_time,Opti_Deadline,Scenario_File
260,random-32-32-20.map,PIBTOLD,0,1013296,100000,6465,0,random-32-32-20-random-2.scen
260,random-32-32-20.map,PIBT,0,213536,100000,17049,1,random-32-32-20-random-2.scen
260,random-32-32-20.map,PIBTOLD,0,1013296,100000,6383,1,random-32-32-20-random-2.scen
260,random-32-32-20.map,PIBT,0,13856,100000,13311,10,random-32-32-20-random-2.scen
260,random-32-32-20.map,PIBTOLD,0,1013296,100000,6550,10,random-32-32-20-random-2.scen
260,random-32-32-20.map,PIBT,0,12893,100000,21791,100,random-32-32-20-random-2.scen
260,random-32-32-20.map,PIBTOLD,0,1013296,100000,6431,100,random-32-32-20-random-2.scen
20,random-32-32-20.map,PIBT,1,577,42,0,0,random-32-32-20-random-24.scen
20,random-32-32-20.map,PIBTOLD,1,577,42,0,0,random-32-32-20-random-24.scen
20,random-32-32-20.map,PIBT,1,566,42,0,1,random-32-32-20-random-24.scen
20,random-32-32-20.map,PIBTOLD,1,577,42,0,1,random-32-32-20-random-24.scen
20,random-32-32-20.map,PIBT,1,566,42,0,10,random-32-32-20-random-24.scen
20,random-32-32-20.map,PIBTOLD,1,577,42,0,10,random-32-32-20-random-24.scen
20,random-32-32-20.map,PIBT,1,566,42,0,100,random-32-32-20-random-24.scen
20,random-32-32-20.map,PIBTOLD,1,577,42,0,100,random-32-32-20-random-24.scen
20,random-32-32-20.map,PIBT,1,566,42,0,1000,random-32-32-20-random-24.scen
20,random-32-32-20.map,PIBTOLD,1,577,42,0,1000,random-32-32-20-random-24.scen
60,random-32-32-20.map,PIBT,1,1711,48,2,0,random-32-32-20-random-24.scen
60,random-32-32-20.map,PIBTOLD,1,1711,48,1,0,random-32-32-20-random-24.scen
60,random-32-32-20.map,PIBT,1,1751,49,2,1,random-32-32-20-random-24.scen
60,random-32-32-20.map,PIBTOLD,1,1711,48,1,1,random-32-32-20-random-24.scen
60,random-32-32-20.map,PIBT,1,1751,49,2,10,random-32-32-20-random-24.scen
60,random-32-32-20.map,PIBTOLD,1,1711,48,1,10,random-32-32-20-random-24.scen
60,random-32-32-20.map,PIBT,1,1751,49,2,100,random-32-32-20-random-24.scen
60,random-32-32-20.map,PIBTOLD,1,1711,48,1,100,random-32-32-20-random-24.scen
60,random-32-32-20.map,PIBT,1,1751,49,2,1000,random-32-32-20-random-24.scen
60,random-32-32-20.map,PIBTOLD,1,1711,48,1,1000,random-32-32-20-random-24.scen
100,random-32-32-20.map,PIBT,1,3446,54,3,0,random-32-32-20-random-24.scen
100,random-32-32-20.map,PIBTOLD,1,3446,54,3,0,random-32-32-20-random-24.scen
100,random-32-32-20.map,PIBT,1,3461,65,16,1,random-32-32-20-random-24.scen
100,random-32-32-20.map,PIBTOLD,1,3446,54,3,1,random-32-32-20-random-24.scen
100,random-32-32-20.map,PIBT,1,3228,54,30,10,random-32-32-20-random-24.scen
100,random-32-32-20.map,PIBTOLD,1,3446,54,3,10,random-32-32-20-random-24.scen
