agents,map_file,solver,solved,soc,makespan,comp_time,Opti_Deadline,Scenario_File
20,warehouse-10-20-10-2-1.map,PIBT,1,1690,170,4,1000,warehouse-10-20-10-2-1-random-17.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1727,162,3,1000,warehouse-10-20-10-2-1-random-17.scen
60,warehouse-10-20-10-2-1.map,PIBT,1,6061,192,10,0,warehouse-10-20-10-2-1-random-17.scen
60,warehouse-10-20-10-2-1.map,PIBTOLD,1,6061,192,9,0,warehouse-10-20-10-2-1-random-17.scen
60,warehouse-10-20-10-2-1.map,PIBT,0,5909,100000,2891,1,warehouse-10-20-10-2-1-random-17.scen
60,warehouse-10-20-10-2-1.map,PIBTOLD,1,6061,192,9,1,warehouse-10-20-10-2-1-random-17.scen
60,warehouse-10-20-10-2-1.map,PIBT,0,5909,100000,2849,10,warehouse-10-20-10-2-1-random-17.scen
60,warehouse-10-20-10-2-1.map,PIBTOLD,1,6061,192,9,10,warehouse-10-20-10-2-1-random-17.scen
60,warehouse-10-20-10-2-1.map,PIBT,0,5909,100000,2835,100,warehouse-10-20-10-2-1-random-17.scen
60,warehouse-10-20-10-2-1.map,PIBTOLD,1,6061,192,9,100,warehouse-10-20-10-2-1-random-17.scen
60,warehouse-10-20-10-2-1.map,PIBT,0,5909,100000,2761,1000,warehouse-10-20-10-2-1-random-17.scen
60,warehouse-10-20-10-2-1.map,PIBTOLD,1,6061,192,9,1000,warehouse-10-20-10-2-1-random-17.scen
100,warehouse-10-20-10-2-1.map,PIBT,0,410642,100000,4012,0,warehouse-10-20-10-2-1-random-17.scen
100,warehouse-10-20-10-2-1.map,PIBTOLD,0,410642,100000,2977,0,warehouse-10-20-10-2-1-random-17.scen
100,warehouse-10-20-10-2-1.map,PIBT,0,209851,100000,4834,1,warehouse-10-20-10-2-1-random-17.scen
100,warehouse-10-20-10-2-1.map,PIBTOLD,0,410642,100000,3004,1,warehouse-10-20-10-2-1-random-17.scen
100,warehouse-10-20-10-2-1.map,PIBT,0,209851,100000,4997,10,warehouse-10-20-10-2-1-random-17.scen
100,warehouse-10-20-10-2-1.map,PIBTOLD,0,410642,100000,3024,10,warehouse-10-20-10-2-1-random-17.scen
100,warehouse-10-20-10-2-1.map,PIBT,0,209851,100000,4980,100,warehouse-10-20-10-2-1-random-17.scen
100,warehouse-10-20-10-2-1.map,PIBTOLD,0,410642,100000,2959,100,warehouse-10-20-10-2-1-random-17.scen
100,warehouse-10-20-10-2-1.map,PIBT,0,209851,100000,4923,1000,warehouse-10-20-10-2-1-random-17.scen
100,warehouse-10-20-10-2-1.map,PIBTOLD,0,410642,100000,3049,1000,warehouse-10-20-10-2-1-random-17.scen
140,warehouse-10-20-10-2-1.map,PIBT,0,815517,100000,5668,0,warehouse-10-20-10-2-1-random-17.scen
140,warehouse-10-20-10-2-1.map,PIBTOLD,0,815517,100000,3790,0,warehouse-10-20-10-2-1-random-17.scen
140,warehouse-10-20-10-2-1.map,PIBT,0,215436,100000,7233,1,warehouse-10-20-10-2-1-random-17.scen
140,warehouse-10-20-10-2-1.map,PIBTOLD,0,815517,100000,3693,1,warehouse-10-20-10-2-1-random-17.scen
140,warehouse-10-20-10-2-1.map,PIBT,0,215436,100000,7338,10,warehouse-10-20-10-2-1-random-17.scen
140,warehouse-10-20-10-2-1.map,PIBTOLD,0,815517,100000,3759,10,warehouse-10-20-10-2-1-random-17.scen
140,warehouse-10-20-10-2-1.map,PIBT,0,215436,100000,7229,100,warehouse-10-20-10-2-1-random-17.scen
140,warehouse-10-20-10-2-1.map,PIBTOLD,0,815517,100000,3904,100,warehouse-10-20-10-2-1-random-17.scen
140,warehouse-10-20-10-2-1.map,PIBT,0,215436,100000,7317,1000,warehouse-10-20-10-2-1-random-17.scen
140,warehouse-10-20-10-2-1.map,PIBTOLD,0,815517,100000,3831,1000,warehouse-10-20-10-2-1-random-17.scen
180,warehouse-10-20-10-2-1.map,PIBT,0,920025,100000,7437,0,warehouse-10-20-10-2-1-random-17.scen
180,warehouse-10-20-10-2-1.map,PIBTOLD,0,920025,100000,4762,0,warehouse-10-20-10-2-1-random-17.scen
180,warehouse-10-20-10-2-1.map,PIBT,0,419990,100000,8588,1,warehouse-10-20-10-2-1-random-17.scen
180,warehouse-10-20-10-2-1.map,PIBTOLD,0,920025,100000,4708,1,warehouse-10-20-10-2-1-random-17.scen
180,warehouse-10-20-10-2-1.map,PIBT,0,419990,100000,8530,10,warehouse-10-20-10-2-1-random-17.scen
180,warehouse-10-20-10-2-1.map,PIBTOLD,0,920025,100000,4654,10,warehouse-10-20-10-2-1-random-17.scen
180,warehouse-10-20-10-2-1.map,PIBT,0,419990,100000,8563,100,warehouse-10-20-10-2-1-random-17.scen
180,warehouse-10-20-10-2-1.map,PIBTOLD,0,920025,100000,4671,100,warehouse-10-20-10-2-1-random-17.scen
180,warehouse-10-20-10-2-1.map,PIBT,0,419990,100000,8645,1000,warehouse-10-20-10-2-1-random-17.scen
180,warehouse-10-20-10-2-1.map,PIBTOLD,0,920025,100000,4637,1000,warehouse-10-20-10-2-1-random-17.scen
220,warehouse-10-20-10-2-1.map,PIBT,0,1025739,100000,9600,0,warehouse-10-20-10-2-1-random-17.scen
220,warehouse-10-20-10-2-1.map,PIBTOLD,0,1025739,100000,5663,0,warehouse-10-20-10-2-1-random-17.scen
220,warehouse-10-20-10-2-1.map,PIBT,0,227604,100000,10913,1,warehouse-10-20-10-2-1-random-17.scen
220,warehouse-10-20-10-2-1.map,PIBTOLD,0,1025739,100000,5563,1,warehouse-10-20-10-2-1-random-17.scen
220,warehouse-10-20-10-2-1.map,PIBT,0,227604,100000,10414,10,warehouse-10-20-10-2-1-random-17.scen
220,warehouse-10-20-10-2-1.map,PIBTOLD,0,1025739,100000,5641,10,warehouse-10-20-10-2-1-random-17.scen
220,warehouse-10-20-10-2-1.map,PIBT,0,227604,100000,10550,100,warehouse-10-20-10-2-1-random-17.scen
220,warehouse-10-20-10-2-1.map,PIBTOLD,0,1025739,100000,5454,100,warehouse-10-20-10-2-1-random-17.scen
220,warehouse-10-20-10-2-1.map,PIBT,0,227604,100000,11080,1000,warehouse-10-20-10-2-1-random-17.scen
220,warehouse-10-20-10-2-1.map,PIBTOLD,0,1025739,100000,5556,1000,warehouse-10-20-10-2-1-random-17.scen
260,warehouse-10-20-10-2-1.map,PIBT,0,1529853,100000,11983,0,warehouse-10-20-10-2-1-random-17.scen
260,warehouse-10-20-10-2-1.map,PIBTOLD,0,1529853,100000,6668,0,warehouse-10-20-10-2-1-random-17.scen
260,warehouse-10-20-10-2-1.map,PIBT,0,433399,100000,15582,1,warehouse-10-20-10-2-1-random-17.scen
260,warehouse-10-20-10-2-1.map,PIBTOLD,0,1529853,100000,6887,1,warehouse-10-20-10-2-1-random-17.scen
260,warehouse-10-20-10-2-1.map,PIBT,0,433399,100000,15684,10,warehouse-10-20-10-2-1-random-17.scen
260,warehouse-10-20-10-2-1.map,PIBTOLD,0,1529853,100000,6598,10,warehouse-10-20-10-2-1-random-17.scen
260,warehouse-10-20-10-2-1.map,PIBT,0,433399,100000,15444,100,warehouse-10-20-10-2-1-random-17.scen
260,warehouse-10-20-10-2-1.map,PIBTOLD,0,1529853,100000,6511,100,warehouse-10-20-10-2-1-random-17.scen
260,warehouse-10-20-10-2-1.map,PIBT,0,433399,100000,15937,1000,warehouse-10-20-10-2-1-random-17.scen
260,warehouse-10-20-10-2-1.map,PIBTOLD,0,1529853,100000,6681,1000,warehouse-10-20-10-2-1-random-17.scen
300,warehouse-10-20-10-2-1.map,PIBT,0,2234973,100000,15994,0,warehouse-10-20-10-2-1-random-17.scen
300,warehouse-10-20-10-2-1.map,PIBTOLD,0,2234973,100000,7363,0,warehouse-10-20-10-2-1-random-17.scen
300,warehouse-10-20-10-2-1.map,PIBT,0,1235008,100000,20434,1,warehouse-10-20-10-2-1-random-17.scen
300,warehouse-10-20-10-2-1.map,PIBTOLD,0,2234973,100000,7491,1,warehouse-10-20-10-2-1-random-17.scen
300,warehouse-10-20-10-2-1.map,PIBT,0,1235008,100000,20528,10,warehouse-10-20-10-2-1-random-17.scen
300,warehouse-10-20-10-2-1.map,PIBTOLD,0,2234973,100000,7390,10,warehouse-10-20-10-2-1-random-17.scen
300,warehouse-10-20-10-2-1.map,PIBT,0,1235008,100000,20389,100,warehouse-10-20-10-2-1-random-17.scen
300,warehouse-10-20-10-2-1.map,PIBTOLD,0,2234973,100000,7397,100,warehouse-10-20-10-2-1-random-17.scen
300,warehouse-10-20-10-2-1.map,PIBT,0,1235008,100000,20250,1000,warehouse-10-20-10-2-1-random-17.scen
300,warehouse-10-20-10-2-1.map,PIBTOLD,0,2234973,100000,7620,1000,warehouse-10-20-10-2-1-random-17.scen
340,warehouse-10-20-10-2-1.map,PIBT,0,3340853,100000,18315,0,warehouse-10-20-10-2-1-random-17.scen
340,warehouse-10-20-10-2-1.map,PIBTOLD,0,3340853,100000,9213,0,warehouse-10-20-10-2-1-random-17.scen
340,warehouse-10-20-10-2-1.map,PIBT,0,443374,100000,26171,1,warehouse-10-20-10-2-1-random-17.scen
340,warehouse-10-20-10-2-1.map,PIBTOLD,0,3340853,100000,9096,1,warehouse-10-20-10-2-1-random-17.scen
340,warehouse-10-20-10-2-1.map,PIBT,0,844153,100000,22846,10,warehouse-10-20-10-2-1-random-17.scen
340,warehouse-10-20-10-2-1.map,PIBTOLD,0,3340853,100000,8604,10,warehouse-10-20-10-2-1-random-17.scen
340,warehouse-10-20-10-2-1.map,PIBT,0,844153,100000,22278,100,warehouse-10-20-10-2-1-random-17.scen
340,warehouse-10-20-10-2-1.map,PIBTOLD,0,3340853,100000,8535,100,warehouse-10-20-10-2-1-random-17.scen
340,warehouse-10-20-10-2-1.map,PIBT,0,844153,100000,23466,1000,warehouse-10-20-10-2-1-random-17.scen
340,warehouse-10-20-10-2-1.map,PIBTOLD,0,3340853,100000,8541,1000,warehouse-10-20-10-2-1-random-17.scen
380,warehouse-10-20-10-2-1.map,PIBT,0,4047546,100000,22092,0,warehouse-10-20-10-2-1-random-17.scen
380,warehouse-10-20-10-2-1.map,PIBTOLD,0,4047546,100000,10173,0,warehouse-10-20-10-2-1-random-17.scen
380,warehouse-10-20-10-2-1.map,PIBT,0,448127,100000,30650,1,warehouse-10-20-10-2-1-random-17.scen
380,warehouse-10-20-10-2-1.map,PIBTOLD,0,4047546,100000,9853,1,warehouse-10-20-10-2-1-random-17.scen
380,warehouse-10-20-10-2-1.map,PIBT,0,850483,100000,27443,10,warehouse-10-20-10-2-1-random-17.scen
380,warehouse-10-20-10-2-1.map,PIBTOLD,0,4047546,100000,9997,10,warehouse-10-20-10-2-1-random-17.scen
380,warehouse-10-20-10-2-1.map,PIBT,0,850483,100000,27831,100,warehouse-10-20-10-2-1-random-17.scen
380,warehouse-10-20-10-2-1.map,PIBTOLD,0,4047546,100000,9650,100,warehouse-10-20-10-2-1-random-17.scen
